COG0001	H	"Glutamate-1-semialdehyde aminotransferase (glutamate-1-semialdehyde 2,1-aminomutase activity)"	HemL	Heme biosynthesis		2CFB
COG0002	E	N-acetyl-gamma-glutamylphosphate reductase (Catalyzes the NADPH-dependent reduction of N-acetyl-5- glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde)	ArgC	Arginine biosynthesis		3DR3
COG0003	P	"Anion-transporting ATPase, ArsA/GET3 family (Pfam Anion-transporting ATPase)"	ArsA			1F48
COG0004	P	Ammonia channel protein AmtB (ammonium transporteR)	AmtB			1U77
COG0005	F	"Purine nucleoside phosphorylase (The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate)"	XapA	Purine salvage		1YQQ
COG0006	E	Xaa-Pro aminopeptidase (proline dipeptidase activity)	PepP			1A16
COG0007	H	"Uroporphyrinogen-III methylase (siroheme synthase) (Multifunctional enzyme that catalyzes the SAM-dependent methylations of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 via precorrin-1. Then it catalyzes the NAD- dependent ring dehydrogenation of precorrin-2 to yield sirohydrochlorin. Finally, it catalyzes the ferrochelation of sirohydrochlorin to yield siroheme)"	CysG	Cobalamine/B12 biosynthesis		1PJQ
COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase (Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu))	GlnS	Heme biosynthesis		1EUQ
COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC (L-threonylcarbamoyladenylate synthase)	TsaC	tRNA modification		1HRU
COG0010	E	Arginase/agmatinase family enzyme (Belongs to the arginase family)	SpeB	Urea cycle		1CEV
COG0011	H	"Thiamin-binding stress-response protein YqgV, UPF0045 family (TIGRFAM Protein of)"	YqgV		20471400	1LXJ
COG0012	J	"Ribosome-binding ATPase YchF, GTP1/OBG family (GTP binding)"	GTP1		21527254	2DWQ
COG0013	J	Alanyl-tRNA synthetase (Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain)	AlaS	Aminoacyl-tRNA synthetases		2ZZE
COG0014	E	Gamma-glutamyl phosphate reductase (Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate)	ProA	Proline biosynthesis		4GHK
COG0015	F	Adenylosuccinate lyase (Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily)	PurB	Purine biosynthesis		2HVG
COG0016	J	Phenylalanyl-tRNA synthetase alpha subunit (Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily)	PheS	Aminoacyl-tRNA synthetases		3L4G
COG0017	J	Aspartyl/asparaginyl-tRNA synthetase (Asparaginyl-tRNA synthetase)	AsnS	Aminoacyl-tRNA synthetases		3KFU
COG0018	J	Arginyl-tRNA synthetase	ArgS	Aminoacyl-tRNA synthetases		1BS2
COG0019	E	Diaminopimelate decarboxylase (diaminopimelate decarboxylase activity)	LysA	Lysine biosynthesis		1D7K
COG0020	I	Undecaprenyl pyrophosphate synthase (H: Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids)	UppS			1X07
COG0021	G	"Transketolase (Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate)"	TktA	Pentose phosphate pathway		1AY0
COG0022	C	"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit (dehydrogenase e1 component)"	AcoB	Pyruvate oxidation		2OZL
COG0023	J	Translation initiation factor 1 (eIF-1/SUI1) (Translation Initiation Factor)	SUI1	Translation factors		1D1R
COG0024	J	Methionine aminopeptidase (E: Methionine aminopeptidase)	Map			3J2I
COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter (NhaP-type Na H and K H)	NhaP			4CZB
COG0026	F	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) (Catalyzes the ATP-dependent conversion of 5- aminoimidazole ribonucleotide (AIR) and HCO(3)(-) to N5- carboxyaminoimidazole ribonucleotide (N5-CAIR))	PurK	Purine biosynthesis		1B6R
COG0027	F	"Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase) (Involved in the de novo purine biosynthesis. Catalyzes the transfer of formate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR). Formate is provided by PurU via hydrolysis of 10-formyl-tetrahydrofolate)"	PurT	Purine biosynthesis		1KJ8
COG0028	EH	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (Belongs to the TPP enzyme family)	IlvB	"Isoleucine, leucine, valine biosynthesis"		1BFD
COG0029	H	Aspartate oxidase (Catalyzes the oxidation of L-aspartate to iminoaspartate)	NadB	NAD biosynthesis		1KNP
COG0030	J	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity)	RsmA	16S rRNA modification		1QYR
COG0031	E	Cysteine synthase (Belongs to the cysteine synthase cystathionine beta- synthase family)	CysK	Cysteine biosynthesis		1FCJ
COG0033	G	Phosphoglucomutase/phosphomannomutase (Phosphoglucomutase)	Pgm		30938049	1C47
COG0034	F	Glutamine phosphoribosylpyrophosphate amidotransferase (Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine)	PurF	Purine biosynthesis		1ECB
COG0035	F	Uracil phosphoribosyltransferase (Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate)	Upp	Pyrimidine salvage		2EHJ
COG0036	G	Pentose-5-phosphate-3-epimerase (Belongs to the ribulose-phosphate 3-epimerase family)	Rpe	Pentose phosphate pathway		1H1Y
COG0037	J	tRNA(Ile)-lysidine synthase TilS/MesJ (D: tRNA processing)	TilS	tRNA modification	21435031	1NI5
COG0038	P	H+/Cl- antiporter ClcA (chloride channel)	ClcA			1KPK
COG0039	C	Malate/lactate dehydrogenase (L-malate dehydrogenase activity)	Mdh	TCA cycle		4WLO
COG0040	E	ATP phosphoribosyltransferase (F: Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of hisG enzymatic activity)	HisG	Histidine biosynthesis		1H3D
COG0041	F	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase (Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR))	PurE	Purine biosynthesis		1D7A
COG0042	J	"tRNA-dihydrouridine synthase (Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines)"	DusA	tRNA modification		1VHN
COG0043	H	3-polyprenyl-4-hydroxybenzoate decarboxylase (3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity)	UbiD	Ubiquinone biosynthesis	28057757	2IDB
COG0044	F	"Dihydroorotase or related cyclic amidohydrolase (hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides)"	AllB	Pyrimidine biosynthesis		1J79
COG0045	C	"Succinyl-CoA synthetase, beta subunit (succinate-CoA ligase (ADP-forming) activity)"	SucC	TCA cycle		1SCU
COG0046	F	"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain (Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL)"	PurL1	Purine biosynthesis		3VIU
COG0047	F	"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain (phosphoribosylformylglycinamidine synthase activity)"	PurL2	Purine biosynthesis		1T3T
COG0048	J	"Ribosomal protein S12 (Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit)"	RpsL	Ribosome 30S subunit		4V4H
COG0049	J	Ribosomal protein S7 (tRNA binding)	RpsG	Ribosome 30S subunit		4V4H
COG0050	J	"Translation elongation factor EF-Tu, a GTPase (This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis)"	TufA	Translation factors		1EFU
COG0051	J	"Ribosomal protein S10 (transcription antitermination factor activity, RNA binding)"	RpsJ	Ribosome 30S subunit		4V4H
COG0052	J	Ribosomal protein S2 (Belongs to the universal ribosomal protein uS2 family)	RpsB	Ribosome 30S subunit		4V4H
COG0053	P	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump (Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family)	FieF			2QFI
COG0054	H	"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain) (6,7-dimethyl-8-ribityllumazine synthase activity)"	RibE	Riboflavin/FAD biosynthesis		1C2Y
